import time: self [us] | cumulative | imported package
import time:       621 |        621 | _frozen_importlib_external
import time:       799 |        799 |   time
import time:       337 |       1136 | zipimport
import time:        64 |         64 |     _codecs
import time:       528 |        591 |   codecs
import time:       562 |        562 |   encodings.aliases
import time:      1042 |       2195 | encodings
import time:       256 |        256 | encodings.utf_8
import time:        94 |         94 | _signal
import time:       378 |        378 | encodings.latin_1
import time:        50 |         50 |     _abc
import time:       329 |        378 |   abc
import time:       325 |        702 | io
import time:        52 |         52 |       _stat
import time:       233 |        284 |     stat
import time:       860 |        860 |     _collections_abc
import time:       248 |        248 |       genericpath
import time:       412 |        659 |     posixpath
import time:       567 |       2369 |   os
import time:       219 |        219 |   _sitebuiltins
import time:        63 |         63 |     _locale
import time:       176 |        238 |   _bootlocale
import time:       272 |        272 |   types
import time:       271 |        271 |       warnings
import time:       214 |        484 |     importlib
import time:       197 |        197 |       importlib.machinery
import time:       568 |        765 |     importlib.abc
import time:        83 |         83 |           _operator
import time:       562 |        645 |         operator
import time:       244 |        244 |         keyword
import time:       656 |        656 |           _heapq
import time:       218 |        874 |         heapq
import time:        86 |         86 |         itertools
import time:       231 |        231 |         reprlib
import time:        60 |         60 |         _collections
import time:      1393 |       3530 |       collections
import time:        46 |         46 |         _functools
import time:       537 |        582 |       functools
import time:       627 |       4738 |     contextlib
import time:       405 |       6391 |   importlib.util
import time:       404 |        404 |   sitecustomize
import time:        89 |         89 |   usercustomize
import time:      5950 |      15930 | site
import time:       261 |        261 | exposan
import time:      2031 |       2031 | exposan.bwaise
